iter	Passed	Remaining
1432	41429	1937
1433	41451	1907
1434	41470	1878
1435	41491	1849
1436	41510	1819
1437	41528	1790
1438	41548	1761
1439	41569	1732
1440	41589	1702
1441	41610	1673
1442	41630	1644
1443	41653	1615
1444	41674	1586
1445	41695	1557
1446	41716	1527
1447	41735	1498
1448	41754	1469
1449	41773	1440
1450	41794	1411
1451	41814	1382
1452	41835	1353
1453	41857	1324
1454	41882	1295
1455	41902	1266
1456	41925	1237
1457	41945	1208
1458	41966	1179
1459	41990	1150
1460	42010	1121
1461	42029	1092
1462	42052	1063
1463	42072	1034
1464	42096	1005
1465	42120	976
1466	42160	948
1467	42180	919
1468	42200	890
1469	42223	861
1470	42243	832
1471	42265	803
1472	42284	775
1473	42305	746
1474	42327	717
1475	42351	688
1476	42373	659
1477	42392	631
1478	42415	602
1479	42437	573
1480	42459	544
1481	42479	515
1482	42498	487
1483	42520	458
1484	42543	429
1485	42566	401
1486	42588	372
1487	42608	343
1488	42628	314
1489	42651	286
1490	42671	257
1491	42691	228
1492	42711	200
1493	42732	171
1494	42755	142
1495	42775	114
1496	42796	85
1497	42817	57
1498	42837	28
1499	42857	0
